,org.sonarsource.slang:slang-checks,org.sonarsource.sonarqube:sonar-dev-cockpit-bridge,com.racodond.sonarqube.plugin.gherkin:gherkin-checks,org.sonarsource.sonarqube:sonar-db-core,org.sonarsource.sonarqube:sonar-scanner-engine,org.codehaus.sonar-plugins.jproperties:jproperties-checks,org.sonarsource.java:java-checks,org.sonarsource.sonarqube:sonar-ce-api,org.sonarsource.javascript:javascript-checks,org.sonarsource.javascript:javascript-frontend,org.codehaus.sonar-plugins.css:css-frontend,org.sonarsource.sonarqube:sonar-plugin-bridge,org.sonarsource.sonarlint.core:sonarlint-slf4j-sonar-log,org.sonarsource.flex:flex-squid,org.codehaus.sonar-plugins.jproperties:jproperties-checks-testkit,org.codehaus.sonar-plugins.json:json-checks-testkit,org.sonarsource.java:java-checks-testkit,org.sonarsource.sonarqube:sonar-server,org.sonarsource.java:java-frontend,com.racodond.sonarqube.plugin.gherkin:gherkin-checks-testkit,org.sonarsource.sonarqube:sonar-db,org.sonarsource.sonarqube:sonar-batch,org.sonarsource.sonarqube:sonar-xoo-plugin,org.codehaus.sonar-plugins.json:json-checks,org.sonarsource.sonarqube:sonar-core,org.sonarsource.sonarqube:sonar-views-bridge
5.2-RC3,,,,,,,,,,,,,,,,,,5.2-RC3,,,5.2-RC3,5.2-RC3,,,5.2-RC3,
5.2-RC4,,,,,,,,,,,,,,,,,,5.2-RC4,,,5.2-RC4,5.2-RC4,,,5.2-RC4,
5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
5.3-RC1,,,,,,,,,,,,,,,,,,,,,,,,,,
5.3-RC2,,,,,,,,,,,,,,,,,,,,,,,,,,
5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
5.2-RC2,,,,,,,,,,,,,,,,,,,,,5.2-RC2,5.2-RC2,,,5.2-RC2,
5.4-RC1,,5.4-RC1,,,,,,,,,,,,,,,,5.4-RC1,,,5.4-RC1,5.4-RC1,,,5.4-RC1,5.4-RC1
6.7,,,,6.7,6.7,,5.5.0.14655,,,,,6.7,,2.4.0.1222,,,5.4.0.14284,6.7,5.4.0.14284,,,,,,6.7,
6.7.1,,,,6.7.1,6.7.1,,,,,,,6.7.1,,,,,,6.7.1,,,,,,,6.7.1,
5.6,,,1.0,,5.6,2.4,,,2.14,2.14,4.13,5.6,,2.3,2.4,2.2,,5.6,4.2.1.6971,1.6,5.6,,,2.2,5.6,
5.6.1,,,,,5.6.1,,,,,,,5.6.1,,,,,,5.6.1,,,5.6.1,,,,5.6.1,
7.3-alpha1,,,,7.3-alpha1,7.3-alpha1,,5.7.0.15470,,,,,,,,,,5.7.0.15470,,5.7.0.15470,,,,7.3-alpha1,,7.3-alpha1,
7.3,,,,7.3,7.3,,,,,,,,,,,,,,,,,,7.3,,7.3,
6.4,,,,6.4,6.4,,,6.4,,,,6.4,,,,,,6.4,4.14.0.11784,,,,,,6.4,
6.5-RC1,,,,6.5-RC1,6.5-RC1,,,6.5-RC1,,,,6.5-RC1,,,,,,6.5-RC1,,,,,,,6.5-RC1,
6.3,,,,,6.3,,,,,,,6.3,,,,,,6.3,4.9.0.9858,,6.3,,,,6.3,
6.3.1,,,,,6.3.1,,,,,,,6.3.1,,,,,,6.3.1,,,6.3.1,,,,6.3.1,
6.2,,,,,6.2,,,,,,,6.2,,,,,,6.2,4.5.0.8398,,6.2,,,,6.2,
6.2.1,,,,,6.2.1,,,,,,,6.2.1,,,,,,6.2.1,,,6.2.1,,,,6.2.1,
6.1,,,,,6.1,,,,,,,6.1,,,,,,6.1,4.3.0.7717,,6.1,,,,6.1,
6.2-RC1,,,,,6.2-RC1,,,,,,,6.2-RC1,,,,,,6.2-RC1,,,6.2-RC1,,,,6.2-RC1,
7.2,1.0.0.928,,,7.2,7.2,,,,,,,7.2,3.9.0.1892,,,,,7.2,,,,,7.2,,7.2,
7.2.1,,,,7.2.1,7.2.1,,,,,,,7.2.1,,,,,,7.2.1,,,,,7.2.1,,7.2.1,
7.1,,,,7.1,7.1,,,,,,,7.1,3.8.0.1826,,,,,7.1,,,,,7.1,,7.1,
5.4,,5.4,,,,,,,,,,,,,,,,5.4,,,5.4,5.4,,,5.4,5.4
5.5-RC1,,,,,5.5-RC1,,,,,,,5.5-RC1,,,,,,5.5-RC1,,,5.5-RC1,,,,5.5-RC1,
5.4-RC2,,5.4-RC2,,,,,,,,,,,,,,,,5.4-RC2,,,5.4-RC2,5.4-RC2,,,5.4-RC2,5.4-RC2
5.4-RC3,,5.4-RC3,,,,,,,,,,,,,,,,5.4-RC3,,,5.4-RC3,5.4-RC3,,,5.4-RC3,5.4-RC3
5.4-RC4,,5.4-RC4,,,,,,,,,,,,,,,,5.4-RC4,,,5.4-RC4,5.4-RC4,,,5.4-RC4,5.4-RC4
6.4-RC2,,,,6.4-RC2,6.4-RC2,,,6.4-RC2,,,,6.4-RC2,,,,,,6.4-RC2,,,,,,,6.4-RC2,
6.4-RC3,,,,6.4-RC3,6.4-RC3,,,6.4-RC3,,,,6.4-RC3,,,,,,6.4-RC3,,,,,,,6.4-RC3,
6.4-RC1,,,,6.4-RC1,6.4-RC1,,,6.4-RC1,,,,6.4-RC1,,,,,,6.4-RC1,,,,,,,6.4-RC1,
6.5,,,,6.5,6.5,,,6.5,,,,6.5,,,,,,6.5,,,,,,,6.5,
6.6-RC1,,,,6.6-RC1,6.6-RC1,,,,,,,6.6-RC1,,,,,,6.6-RC1,,,,,,,6.6-RC1,
6.5-RC2,,,,6.5-RC2,6.5-RC2,,,6.5-RC2,,,,6.5-RC2,,,,,,6.5-RC2,,,,,,,6.5-RC2,
5.5-RC2,,,,,5.5-RC2,,,,,,,5.5-RC2,,,,,,5.5-RC2,,,5.5-RC2,,,,5.5-RC2,
5.5,,,,,5.5,,,,,,,5.5,,,,,,5.5,,,5.5,,,,5.5,
5.6-RC1,,,,,5.6-RC1,,,,,,,5.6-RC1,,,,,,5.6-RC1,,,5.6-RC1,,,,5.6-RC1,
5.6.3,,,,,5.6.3,,,,,,,5.6.3,,,,,,5.6.3,,,5.6.3,,,,5.6.3,
5.6.4,,,,,5.6.4,,,,,,,5.6.4,,,,,,5.6.4,,,5.6.4,,,,5.6.4,
5.6.2,,,,,5.6.2,,,,,,,5.6.2,,,,,,5.6.2,,,5.6.2,,,,5.6.2,
5.6.5,,,,,5.6.5,,,,,,,5.6.5,,,,,,5.6.5,,,5.6.5,,,,5.6.5,
5.6.6,,,,,5.6.6,,,,,,,5.6.6,,,,,,5.6.6,,,5.6.6,,,,5.6.6,
5.6.7,,,,,5.6.7,,,,,,,5.6.7,,,,,,5.6.7,,,5.6.7,,,,5.6.7,
6.0-RC1,,,,,6.0-RC1,,,,,,,6.0-RC1,,,,,,6.0-RC1,,,6.0-RC1,,,,6.0-RC1,
5.6-RC2,,,,,5.6-RC2,,,,,,,5.6-RC2,,,,,,5.6-RC2,,,5.6-RC2,,,,5.6-RC2,
6.0,,,,,6.0,,,,,,,6.0,,,,,,6.0,,,6.0,,,,6.0,
6.1-RC1,,,,,6.1-RC1,,,,,,,6.1-RC1,,,,,,6.1-RC1,,,6.1-RC1,,,,6.1-RC1,
6.0-RC2,,,,,6.0-RC2,,,,,,,6.0-RC2,,,,,,6.0-RC2,,,6.0-RC2,,,,6.0-RC2,
6.1-RC2,,,,,6.1-RC2,,,,,,,6.1-RC2,,,,,,6.1-RC2,,,6.1-RC2,,,,6.1-RC2,
6.3-RC4,,,,,6.3-RC4,,,,,,,6.3-RC4,,,,,,6.3-RC4,,,6.3-RC4,,,,6.3-RC4,
6.2-RC3,,,,,6.2-RC3,,,,,,,6.2-RC3,,,,,,6.2-RC3,,,6.2-RC3,,,,6.2-RC3,
6.6,,,,6.6,6.6,,,,,,,6.6,,,,,,6.6,,,,,,,6.6,
6.7-RC1,,,,6.7-RC1,6.7-RC1,,,,,,,6.7-RC1,,,,,,6.7-RC1,,,,,,,6.7-RC1,
